ApprovalFiscalYear,GrossApproval,NaicsCode,InitialInterestRate,BorrState,JobsSupported,LoanStatus
2018,18633500,446191,7.330275,TX,293,EXEMPT
2019,12186900,446191,8.26277193,TX,300,EXEMPT
2020,3757200,446191,7.444041667,AL,151,EXEMPT
2012,14420300,446199,6.282463768,NE,474,CANCLD
2013,20612600,446199,5.988351648,NJ,919,EXEMPT
2014,21272000,446199,6.618375,RI,584,CANCLD
2015,14137800,446199,6.732682927,NJ,589,CANCLD
2016,24982500,446199,6.455909091,AZ,734,EXEMPT
2017,48728300,446199,6.60677381,CT,768,EXEMPT
2018,15620200,446199,7.545901639,TX,332,EXEMPT
2019,21771200,446199,8.188923077,PA,749,EXEMPT
2020,9764800,446199,7.606,CO,262,EXEMPT
2012,515006570,447110,5.72979066,CA,4355,EXEMPT
2013,684421787,447110,5.572593361,CA,5142,PIF
2014,578336425,447110,5.527938389,TX,4081,CANCLD
2015,770130878,447110,5.392255937,CA,5204,EXEMPT
2016,740473700,447110,5.488946188,CA,4561,PIF
2017,771427600,447110,5.880463378,TX,4185,EXEMPT
2018,699401400,447110,6.49626072,OR,3742,EXEMPT
2019,704012950,447110,7.234445364,WA,3954,EXEMPT
2020,327292800,447110,6.464115226,IL,1618,EXEMPT
2012,9464600,447190,6.453809524,NJ,150,PIF
2013,7789890,447190,6.061875,CA,115,EXEMPT
2014,12965300,447190,5.777407407,WI,166,EXEMPT
2015,15502200,447190,5.9712,CA,258,EXEMPT
2016,4066500,447190,6.524,WI,96,EXEMPT
2017,9038200,447190,6.264285714,OR,126,PIF
2018,12785000,447190,7.748,NJ,134,EXEMPT
2019,17844700,447190,8.248,OH,282,EXEMPT
2020,5156200,447190,7.796,CA,59,EXEMPT
2012,3073300,448110,6.736666667,NY,130,CANCLD
2013,3605700,448110,5.89625,UT,135,PIF
2014,3693800,448110,6.321074074,MI,180,PIF
2015,5789800,448110,6.649277778,NY,217,CANCLD
2016,13318900,448110,6.197142857,GA,340,PIF
2017,13118600,448110,6.641777778,CA,182,PIF
2018,13414700,448110,7.517222222,OR,183,EXEMPT
2019,5089600,448110,8.278333333,LA,103,COMMIT
2020,2271900,448110,6.672727273,FL,89,EXEMPT
2012,22185800,448120,6.51096,SC,1337,PIF
2013,22127500,448120,6.245345588,MN,881,PIF
2014,16294500,448120,6.389823529,ND,1076,EXEMPT
2015,31393200,448120,6.23872093,NE,1283,EXEMPT
2016,25802300,448120,6.730027174,OH,1045,EXEMPT
2017,30487300,448120,7.123829787,PA,1076,EXEMPT
2018,37114700,448120,7.976786885,CO,1029,PIF
2019,20144100,448120,8.705547945,VA,778,EXEMPT
2020,10122200,448120,7.95559322,TX,302,EXEMPT
2012,4228500,448130,6.704285714,TN,207,PIF
2013,4326600,448130,6.487571429,NY,411,EXEMPT
2014,7281300,448130,6.21,VA,245,PIF
2015,6917100,448130,5.796792453,WI,385,PIF
2016,4081600,448130,6.710227273,GA,188,CHGOFF
2017,6422700,448130,6.848,MN,318,EXEMPT
2018,11077300,448130,7.214054054,MO,248,PIF
2019,5067800,448130,8.291470588,TX,218,EXEMPT
2020,792000,448130,8.012727273,CA,39,EXEMPT
2012,7768600,448140,6.412884615,MO,333,PIF
2013,14856900,448140,6.511884058,MO,420,PIF
2014,6727700,448140,7.113275862,FL,389,EXEMPT
2015,8208800,448140,6.711944444,OK,430,PIF
2016,16634100,448140,6.805416667,TX,326,EXEMPT
2017,17078000,448140,7.094225352,CA,336,EXEMPT
2018,16568400,448140,7.663278689,GA,377,EXEMPT
2019,5484500,448140,7.818055556,TN,204,EXEMPT
2020,8567000,448140,7.427692308,GA,85,COMMIT
2012,7579600,448150,6.610131579,TX,1118,EXEMPT
2013,10221332,448150,6.567727273,TX,640,PIF
2014,9223800,448150,6.793050847,TX,339,EXEMPT
2015,13348900,448150,6.289473684,MI,922,CANCLD
2016,19956000,448150,6.54758427,UT,591,PIF
2017,12386600,448150,6.661285714,OH,640,EXEMPT
2018,24835740,448150,7.636818182,GA,401,EXEMPT
2019,5708600,448150,8.636136364,TX,171,EXEMPT
2020,4976600,448150,7.54,FL,97,EXEMPT
2012,20939000,448190,6.439631148,AR,1047,PIF
2013,21654700,448190,6.486587302,CA,707,CANCLD
2014,35593500,448190,5.960507246,TX,1252,EXEMPT
2015,37160600,448190,6.680699482,WI,1263,EXEMPT
2016,38288837,448190,6.621168478,SC,1210,EXEMPT
2017,36271200,448190,6.691666667,SC,886,EXEMPT
2018,23024900,448190,7.393346457,GA,652,EXEMPT
2019,27040400,448190,7.992831858,OK,587,EXEMPT
2020,10909200,448190,7.637333333,TN,211,EXEMPT
2012,9268100,448210,6.250208333,IL,361,CHGOFF
2013,15642500,448210,6.152044776,FL,442,CHGOFF
2014,10419800,448210,5.593728814,TX,517,EXEMPT
2015,23738400,448210,6.282951807,UT,776,PIF
2016,18702500,448210,6.386338028,OR,502,CHGOFF
2017,12770500,448210,6.790545455,GA,373,EXEMPT
2018,13617100,448210,6.99047619,NC,426,EXEMPT
2019,22255780,448210,7.626833333,KY,547,EXEMPT
2020,4545800,448210,7.604,PA,107,CANCLD
2012,40650600,448310,6.474907407,ID,1296,PIF
2013,44101595,448310,6.215684932,CO,1022,CANCLD
2014,35091900,448310,6.353321429,TX,583,EXEMPT
2015,34496500,448310,6.3762,OH,539,CANCLD
2016,27919250,448310,6.698309353,TX,636,EXEMPT
2017,40348950,448310,6.788205128,FL,753,EXEMPT
2018,32479800,448310,7.737992308,RI,537,EXEMPT
2019,21803500,448310,8.813544304,AK,252,EXEMPT
2020,24934200,448310,7.677843137,FL,359,CANCLD
2012,209000,448320,7.133333333,CA,13,PIF
2013,1198000,448320,6.271428571,GA,44,EXEMPT
2014,590000,448320,4.642857143,OH,13,PIF
2015,732000,448320,6.675,WI,40,EXEMPT
2016,1201000,448320,6.026666667,OH,16,PIF
2017,621800,448320,7.646,TX,22,EXEMPT
2018,931900,448320,7.42,MD,62,EXEMPT
2019,775000,448320,8.63,FL,12,EXEMPT
2020,291000,448320,9.451666667,CT,8,EXEMPT
2012,60455100,451110,6.174590734,KY,1551,PIF
2013,62650900,451110,6.050679389,NY,1914,CANCLD
2014,82043085,451110,5.988494983,KY,2539,CHGOFF
2015,83877700,451110,6.038866071,NJ,2447,PIF
2016,52854054,451110,6.238888889,KY,1578,EXEMPT
2017,63057800,451110,6.692175732,IL,1559,EXEMPT
2018,67990000,451110,7.365855856,ID,1293,EXEMPT
2019,63944092,451110,7.713367876,VA,1274,EXEMPT
2020,26916300,451110,7.259378049,TN,532,COMMIT
2012,7052100,451120,6.655384615,NY,284,PIF
2013,9741900,451120,6.315882353,NY,390,EXEMPT
2014,9369200,451120,5.989571429,CT,364,EXEMPT
2015,17978600,451120,6.543595506,TX,579,EXEMPT
2016,13161800,451120,6.872840909,MI,312,EXEMPT
2017,10576100,451120,6.997733333,AL,304,EXEMPT
2018,14296550,451120,7.497714286,VA,362,CANCLD
2019,7930100,451120,8.225,KS,353,EXEMPT
2020,3799600,451120,7.496315789,OR,128,COMMIT
2012,2190600,451130,6.293166667,MA,70,PIF
2013,5385400,451130,6.920285714,AK,207,PIF
2014,4859700,451130,5.937241379,MO,222,PIF
2015,5277000,451130,6.574705882,ME,130,CANCLD
2016,4902200,451130,6.416481481,MN,118,EXEMPT
2017,7390900,451130,7.148666667,OK,146,EXEMPT
2018,1964700,451130,7.832241379,PA,107,PIF
2019,3405100,451130,7.944736842,WY,64,EXEMPT
2020,2222500,451130,7.228461538,WI,60,EXEMPT
2012,6402200,451140,6.376086957,VT,345,PIF
2013,15122800,451140,5.996415094,WI,618,EXEMPT
2014,11478400,451140,6.319375,MN,256,EXEMPT
2015,11183000,451140,6.268571429,MI,310,CANCLD
2016,8610900,451140,6.319767442,UT,465,CANCLD
2017,21338500,451140,6.510333333,WA,385,CANCLD
2018,5826900,451140,7.426931818,MO,149,PIF
2019,11343600,451140,7.930909091,VA,404,EXEMPT
2020,2399700,451140,7.585384615,MN,75,EXEMPT
2012,2600300,451211,6.094285714,MN,132,CANCLD
2013,1981000,451211,6.454782609,TX,70,PIF
2014,2895300,451211,6.397083333,PA,135,PIF
2015,4868600,451211,6.768928571,IN,141,EXEMPT
2016,7454300,451211,6.805625,NY,137,CANCLD
2017,8285400,451211,7.084393939,TX,341,EXEMPT
2018,5005400,451211,7.589166667,NY,332,EXEMPT
2019,1773600,451211,8.414285714,NJ,53,EXEMPT
2020,1823000,451211,7.708333333,NY,128,EXEMPT
2012,10000,451212,9.3,NY,6,CANCLD
2014,600000,451212,4.75,VA,15,EXEMPT
2015,556000,451212,6.415,MT,30,PIF
2017,165900,451212,5.733333333,PA,4,PIF
2019,195000,451212,9.133333333,CA,1,EXEMPT
2020,20000,451212,11.25,MD,2,COMMIT
2012,375700,452111,8.04375,OH,23,PIF
2013,287000,452111,6.76,WA,15,EXEMPT
2014,579000,452111,6.98,OR,32,EXEMPT
2015,1089500,452111,6.668,OR,55,EXEMPT
2016,4613900,452111,7.504166667,GA,174,EXEMPT
2017,937000,452111,7.79375,WA,67,EXEMPT
2018,110000,452111,8.2175,CO,3,EXEMPT
2012,1370700,452112,5.754285714,IA,28,EXEMPT
2013,1427900,452112,6.965,CA,27,PIF
2014,308000,452112,6.663333333,HI,11,PIF
2015,3604100,452112,6.925,NY,29,EXEMPT
2016,2632100,452112,7.384166667,FL,36,EXEMPT
2017,2148400,452112,7.595555556,NM,56,EXEMPT
2018,944000,452112,6,WA,5,EXEMPT
2020,100000,452112,7,CA,2,EXEMPT
2017,165000,452210,8.75,GA,4,CHGOFF
2018,150000,452210,10.99333333,MA,9,EXEMPT
2019,205000,452210,10.75,MA,0,EXEMPT
2020,15000,452210,6,KS,4,EXEMPT
2017,5000,452311,9.75,FL,0,CHGOFF
2018,346000,452311,7,AK,15,EXEMPT
2019,10000,452311,11.75,NC,2,EXEMPT
2020,4559000,452311,7.5,CA,10,COMMIT
2017,6025100,452319,7.0815,MS,95,EXEMPT
2018,9469500,452319,7.268235294,MN,225,EXEMPT
2019,17673000,452319,7.881176471,NH,280,EXEMPT
2020,2988400,452319,7.722727273,DE,85,EXEMPT
2012,45000,452910,6.135,MA,3,PIF
2014,462800,452910,4,OH,20,PIF
2015,886000,452910,6,FL,152,CANCLD
2017,570000,452910,5.75,WI,1,EXEMPT
2012,20329600,452990,6.520379747,IL,451,PIF
2013,23719500,452990,6.367977528,CO,545,PIF
2014,26530300,452990,6.0771,KY,532,PIF
2015,25558625,452990,6.520811966,TX,683,EXEMPT
2016,21124700,452990,6.715046296,WA,499,EXEMPT
2017,10858000,452990,6.697375,MI,311,COMMIT
2018,3341300,452990,7.373333333,OK,113,EXEMPT
2019,955000,452990,7.9325,OH,23,EXEMPT
2012,6317100,453110,6.576434783,CA,274,PIF
2013,7072500,453110,6.17637931,VA,301,CANCLD
2014,15129095,453110,6.12075,AR,627,CANCLD
2015,16182600,453110,6.028009259,CA,913,PIF
2016,17094037,453110,6.138706897,FL,541,PIF
2017,21412900,453110,6.550454545,AZ,509,EXEMPT
2018,13568800,453110,7.356519608,MN,491,CANCLD
2019,9087200,453110,7.91884058,OH,312,EXEMPT
2020,4394800,453110,8.207075,CA,246,COMMIT
2012,15353900,453210,6.120363636,FL,390,EXEMPT
2013,8735100,453210,6.2044,MO,238,EXEMPT
2014,11275200,453210,5.778333333,MD,371,PIF
2015,11518600,453210,5.978837209,PA,297,EXEMPT
2016,16395300,453210,6.1,OH,528,CANCLD
2017,10792000,453210,6.5854,FL,311,PIF
2018,11378000,453210,7.044,UT,147,EXEMPT
2019,7315801,453210,7.788709677,MN,155,EXEMPT
2020,1491000,453210,8.053076923,DC,38,EXEMPT
2012,13134734,453220,6.573626374,KY,721,PIF
2013,25459100,453220,6.147524752,CA,811,EXEMPT
2014,18598000,453220,6.144845361,NY,636,PIF
2015,34992800,453220,6.08957764,FL,937,CANCLD
2016,27066600,453220,6.70829932,KS,860,EXEMPT
2017,23668200,453220,7.094543478,FL,841,EXEMPT
2018,31290400,453220,7.295486726,WI,623,PIF
2019,27708200,453220,7.969238095,AL,523,EXEMPT
2020,10728800,453220,8.015714286,MA,201,EXEMPT
2012,16791350,453310,6.229095745,NE,558,PIF
2013,15791200,453310,5.88908046,TX,589,EXEMPT
2014,20669799,453310,6.139308511,OK,1357,CANCLD
2015,17983364,453310,6.491949153,OK,797,EXEMPT
2016,14449600,453310,6.518965517,TX,410,EXEMPT
2017,19265570,453310,6.834666667,MI,507,EXEMPT
2018,20330900,453310,7.417594937,PA,556,EXEMPT
2019,13105400,453310,7.701791045,WA,379,EXEMPT
2020,4753900,453310,7.343809524,OH,171,EXEMPT
2012,15977900,453910,6.369558824,IN,523,PIF
2013,11691000,453910,6.439655172,RI,401,EXEMPT
2014,20678100,453910,5.959782609,NJ,1076,CANCLD
2015,27199381,453910,5.986857143,IN,1293,EXEMPT
2016,32086500,453910,6.152177419,VA,1089,EXEMPT
2017,38169300,453910,6.66207483,WI,1587,CANCLD
2018,33439693,453910,7.270165354,FL,1011,EXEMPT
2019,43367300,453910,7.92622807,FL,1018,EXEMPT
2020,18659900,453910,7.394186047,AL,560,EXEMPT
2012,3782000,453920,7.272107143,TX,132,PIF
2013,7028000,453920,6.159363636,NY,199,PIF
2014,14237700,453920,5.927115385,OH,115,EXEMPT
2015,9185200,453920,6.320592593,NV,140,EXEMPT
2016,10821400,453920,6.750909091,OH,226,PIF
2017,6425100,453920,6.908235294,IL,179,PIF
2018,6835400,453920,8.043761905,CT,118,EXEMPT
2019,7711100,453920,8.8788,NY,89,EXEMPT
2020,324900,453920,8.59,NY,6,EXEMPT
2012,52000,453930,5.125,MS,17,PIF
2013,760000,453930,5.8125,PA,16,EXEMPT
2014,325000,453930,6.25,NY,15,PIF
2015,500000,453930,5.533333333,NY,18,EXEMPT
2016,764000,453930,5.75,LA,3,CHGOFF
2017,1020000,453930,7.364,IN,39,EXEMPT
2018,3144300,453930,7.048333333,MI,14,EXEMPT
2019,150000,453930,8.25,ME,0,EXEMPT
2020,997000,453930,6.25,TX,12,COMMIT
2012,6497800,453991,6.227697674,IL,157,PIF
2013,6872800,453991,6.4924,FL,177,EXEMPT
2014,7408100,453991,6.835072464,TX,327,CANCLD
2015,8199600,453991,7.057307692,CA,335,PIF
2016,6600400,453991,7.017246377,PA,177,CANCLD
2017,15959400,453991,7.101428571,FL,215,EXEMPT
2018,11401600,453991,7.6345,HI,154,EXEMPT
2019,9139300,453991,8.271296296,NJ,221,EXEMPT
2020,9662900,453991,6.936896552,WA,136,EXEMPT
2012,51515138,453998,6.342923077,OH,2486,PIF
2013,49165500,453998,6.383961538,IL,1378,PIF
2014,58920400,453998,6.239874608,PA,1930,EXEMPT
2015,82089400,453998,6.277060241,TX,2476,PIF
2016,80030168,453998,6.34175,VA,2464,EXEMPT
2017,93792800,453998,6.519730114,VA,2183,EXEMPT
2018,91928300,453998,7.228733333,MN,2192,EXEMPT
2019,55077550,453998,7.96753112,CT,1293,EXEMPT
2020,28478300,453998,7.454423423,WI,795,EXEMPT
2017,33101300,454110,8.20758794,AL,417,CHGOFF
2018,78053100,454110,8.757692308,IN,925,EXEMPT
2019,140334500,454110,8.955649351,PA,1389,EXEMPT
2020,35489700,454110,8.73174375,WA,337,EXEMPT
2012,27643700,454111,6.823537931,CA,1052,PIF
2013,50800400,454111,6.730258065,MA,1159,CANCLD
2014,47722300,454111,6.670136792,MS,1328,EXEMPT
2015,59641700,454111,6.627960526,CA,1338,EXEMPT
2016,79479700,454111,7.525978824,TX,1391,EXEMPT
2017,38655000,454111,7.3286875,GA,477,EXEMPT
2018,54091700,454111,7.383786408,WA,528,EXEMPT
2019,10916200,454111,8.416666667,NC,158,EXEMPT
2020,1853000,454111,6.0975,CO,8,EXEMPT
2012,3615000,454112,6.1875,MA,70,PIF
2013,415000,454112,5.05,KY,39,EXEMPT
2014,1705790,454112,7.000909091,WI,45,PIF
2015,2913100,454112,6.795833333,WA,38,PIF
2016,1005000,454112,6.842222222,NY,15,CHGOFF
2017,461300,454112,5.125,AR,2,EXEMPT
2018,24000,454112,6.5,SD,5,COMMIT
2020,795000,454112,4.94,CA,6,EXEMPT
2012,2486000,454113,5.814444444,NY,235,PIF
2013,2450000,454113,6.035714286,FL,63,PIF
2014,2081400,454113,5.608571429,CA,38,EXEMPT
2015,4370000,454113,7.484545455,CA,78,CANCLD
2016,2384200,454113,8.644736842,CA,20,CHGOFF
2017,365000,454113,7.983333333,VA,37,EXEMPT
2019,280000,454113,7.375,OK,14,EXEMPT
2012,27716900,454210,6.571052632,VT,934,PIF
2013,19157742,454210,6.649078947,MO,221,PIF
2014,20798500,454210,6.152318841,TX,424,PIF
2015,14721100,454210,6.213846154,TX,306,EXEMPT
2016,28118000,454210,6.34625,TN,545,EXEMPT
2017,24184900,454210,6.687407407,PA,333,EXEMPT
2018,19621900,454210,7.445625,CA,494,EXEMPT
2019,34512500,454210,8.11741573,NV,354,PIF
2020,12097900,454210,7.399705882,TX,279,EXEMPT
2012,900000,454310,5.5,GA,35,CHGOFF
2013,9628200,454310,5.280833333,ME,266,CANCLD
2014,8456500,454310,5.571219512,UT,372,EXEMPT
2015,16273400,454310,5.517173913,ME,383,PIF
2016,8538200,454310,5.750789474,MN,184,EXEMPT
2017,14506800,454310,6.046774194,MI,165,EXEMPT
2018,3710600,454310,7.118518519,NH,131,PIF
2019,14348100,454310,7.224615385,NH,147,EXEMPT
2020,6692800,454310,7.083333333,MO,39,EXEMPT
2012,6570100,454311,5.828846154,MA,171,PIF
2013,3130000,454311,5.7375,CO,28,CANCLD
2012,7543000,454312,6.581538462,TX,139,PIF
2013,1703900,454312,5.4375,GA,42,CANCLD
2012,1977900,454319,6.183888889,FL,36,PIF
2013,616800,454319,6.5,ME,6,PIF
2014,125000,454319,4.75,FL,4,EXEMPT
2012,29390700,454390,6.108076271,OH,717,PIF
2013,48976577,454390,5.917575163,NY,1201,CHGOFF
2014,35958500,454390,6.034541985,OH,709,PIF
2015,46861700,454390,6.314540541,TX,1122,PIF
2016,76535775,454390,6.238137255,TN,1012,EXEMPT
2017,61300700,454390,6.60557377,CA,1041,EXEMPT
2018,59497400,454390,7.19304878,IN,855,EXEMPT
2019,58620700,454390,7.745533333,IN,916,EXEMPT
2020,13593900,454390,7.104067797,CA,334,EXEMPT
2012,25000,481111,8.1,AL,3,CHGOFF
2013,9720000,481111,5.791666667,AK,294,PIF
2014,6498000,481111,5.58,NY,141,EXEMPT
2015,5951900,481111,5.873636364,FL,203,PIF
2016,5329900,481111,5.741666667,IA,436,EXEMPT
2017,2167800,481111,7.341428571,CA,249,PIF
2018,1161500,481111,7.5,IL,31,EXEMPT
2019,6411400,481111,8.37375,CA,70,EXEMPT
2012,3100000,481112,5.125,OH,54,PIF
2013,110000,481112,5.75,ID,4,PIF
2015,2550000,481112,5,CA,108,PIF
2016,5397000,481112,6.05,OK,80,PIF
2017,1750300,481112,6.395,PA,84,EXEMPT
2018,1922300,481112,7.625,OH,29,EXEMPT
2019,6054300,481112,7.125,TX,46,EXEMPT
2012,10023100,481211,6.04,FL,146,CHGOFF
2013,12306700,481211,5.325454545,DE,281,EXEMPT
2014,16401900,481211,6.040769231,ID,201,CANCLD
2015,4933100,481211,5.853846154,UT,174,EXEMPT
2016,7720000,481211,6.4,NC,29,EXEMPT
2017,5683100,481211,6.233333333,PA,78,EXEMPT
2018,21707000,481211,6.938235294,AK,267,EXEMPT
2019,6223700,481211,7.894444444,FL,75,EXEMPT
2020,1985000,481211,7.151,FL,24,CANCLD
2012,6356800,481212,5.803333333,ID,33,PIF
2013,1650000,481212,5.573333333,TX,36,EXEMPT
2015,5000000,481212,6,MT,185,EXEMPT
2016,5025000,481212,5.425,FL,250,EXEMPT
2017,50000,481212,10.25,MA,0,EXEMPT
2018,10000000,481212,6.125,FL,14,EXEMPT
2019,5000,481212,12,CA,0,EXEMPT
2020,65000,481212,7.5,NY,1,EXEMPT
2012,1545300,481219,6.351666667,MI,111,CANCLD
2013,1449800,481219,6.835714286,CA,44,EXEMPT
2014,370000,481219,7.375,CA,19,CHGOFF
2015,6699600,481219,6.65,OR,39,EXEMPT
2016,100000,481219,6.333333333,NY,2,CANCLD
2017,2849380,481219,7.271666667,NH,19,EXEMPT
2018,6290500,481219,6.85625,FL,44,PIF
2019,486400,481219,7.75,HI,30,EXEMPT
2020,6300000,481219,7.625,FL,59,EXEMPT
2012,175000,482111,5.75,UT,22,EXEMPT
2013,100000,482111,7.2,UT,4,EXEMPT
2013,350000,482112,5.55,IL,30,PIF
2015,200000,482112,6.25,WV,50,PIF
2016,3000000,482112,4.75,OK,50,EXEMPT
2017,165200,482112,5,OK,45,EXEMPT
2018,3900000,482112,7.25,NY,9,CANCLD
2012,2000000,483111,6.375,AK,35,PIF
2013,565000,483111,7.125,CA,38,PIF
2014,25000,483111,8,WA,4,EXEMPT
2015,900000,483111,4.75,CA,25,EXEMPT
2016,1091000,483111,4.8,CA,13,EXEMPT
2017,1594500,483111,8.666666667,GA,18,EXEMPT
2019,2153400,483111,8.863333333,FL,22,COMMIT
2012,860000,483112,6,PR,21,CHGOFF
2013,10000,483112,9.75,CA,0,CANCLD
2017,290000,483112,6.25,NV,3,PIF
2012,15000,483113,9.34,TX,2,PIF
2013,5141000,483113,5.125,CA,12,PIF
2014,1025000,483113,7.125,CA,43,EXEMPT
2015,3317000,483113,5.625,LA,1,PIF
2016,60000,483113,7.33,TX,2,EXEMPT
2017,5000,483113,9.75,FL,4,EXEMPT
2018,125000,483113,7.5,CA,2,CHGOFF
2019,4000000,483113,8.25,AK,41,EXEMPT
2012,4268800,483114,5.59,AK,227,PIF
2013,120000,483114,3.99,OH,0,PIF
2014,1625000,483114,5.75,RI,15,EXEMPT
2015,273400,483114,5.166666667,ME,19,EXEMPT
2016,749000,483114,5.625,WA,20,EXEMPT
2017,25000,483114,5.5,NY,0,PIF
2019,1530000,483114,7.22,MA,181,EXEMPT
2012,3144900,483211,5.562857143,NY,92,PIF
2013,1389300,483211,6.9,GA,14,EXEMPT
2015,154700,483211,6.1375,OH,19,PIF
2016,108000,483211,5.5,MA,1,CANCLD
2017,3125500,483211,6.166666667,NJ,40,CANCLD
2018,3895000,483211,5.833333333,CT,14,EXEMPT
2019,2658500,483211,7.996,FL,20,EXEMPT
2012,225000,483212,5.375,MA,13,EXEMPT
2013,25000,483212,8,VI,3,EXEMPT
2014,930000,483212,5.05,NY,8,PIF
2017,443000,483212,6.5,WA,6,PIF
2018,125000,483212,7.25,MI,0,CANCLD
2019,4962000,483212,7.148,MI,350,EXEMPT
2012,76991680,484110,6.512079332,KY,3460,PIF
2013,63889505,484110,6.316730159,UT,2820,COMMIT
2014,82793889,484110,6.015485757,MI,3116,PIF
2015,127886564,484110,6.081633819,NY,4372,PIF
2016,115874778,484110,6.382413793,GA,3605,CANCLD
2017,144319395,484110,6.819726751,GA,3740,EXEMPT
2018,168288562,484110,7.482757466,NY,4648,COMMIT
2019,145706400,484110,8.083543735,FL,4045,EXEMPT
2020,75959452,484110,7.268429395,WI,1961,EXEMPT
2012,67844400,484121,6.474188862,MN,3361,CANCLD
2013,66348100,484121,6.052839921,CA,2705,PIF
2014,109277860,484121,5.531576448,MD,3009,CANCLD
2015,175961595,484121,5.705418636,MI,5381,EXEMPT
2016,138561771,484121,5.974926215,GA,4440,PIF
2017,154544611,484121,6.457403066,MO,4566,PIF
2018,202241211,484121,7.15032097,MI,5007,PIF
2019,196623800,484121,7.498106631,OH,4409,EXEMPT
2020,77071300,484121,7.017355658,OH,1632,EXEMPT
2012,10618300,484122,6.236923077,TX,454,PIF
2013,7464830,484122,6.248,UT,155,PIF
2014,14863900,484122,5.902291667,IL,606,PIF
2015,18601400,484122,6.612115385,TX,594,CHGOFF
2016,12083700,484122,7.34362069,LA,420,EXEMPT
2017,11618200,484122,6.967906977,PA,204,EXEMPT
2018,10094300,484122,7.643709677,OH,218,EXEMPT
2019,14959100,484122,7.917068966,GA,163,EXEMPT
2020,4093600,484122,8.3671875,IL,78,EXEMPT
2012,19376000,484210,5.930857143,MI,1160,PIF
2013,29019900,484210,5.659814815,WA,1064,CANCLD
2014,19837000,484210,6.141643836,MN,795,PIF
2015,21303901,484210,6.178470588,PA,1659,EXEMPT
2016,28657550,484210,6.058607595,UT,1015,PIF
2017,31521200,484210,6.503514851,NJ,1101,CANCLD
2018,16984400,484210,7.177837838,TX,854,EXEMPT
2019,32457100,484210,8.089882353,IN,1326,EXEMPT
2020,10197700,484210,6.959666667,OH,366,EXEMPT
2012,28279600,484220,6.335982906,IA,707,CANCLD
2013,31554000,484220,6.281606667,MT,946,PIF
2014,33785802,484220,6.243312102,WI,870,PIF
2015,34000600,484220,6.708716814,MD,1588,EXEMPT
2016,28981700,484220,6.732651163,MI,696,EXEMPT
2017,41741318,484220,7.187381166,IA,973,EXEMPT
2018,62383100,484220,7.639099099,IN,1179,EXEMPT
2019,42612500,484220,7.969416216,PA,997,PIF
2020,18178800,484220,7.591860465,TX,355,EXEMPT
2012,19062415,484230,6.140847458,WI,419,PIF
2013,15045500,484230,6.219322034,MI,617,PIF
2014,17486347,484230,5.824978261,UT,639,PIF
2015,18822330,484230,6.973130081,MI,843,PIF
2016,19281713,484230,7.313605442,KS,845,PIF
2017,13178800,484230,7.451111111,OK,322,EXEMPT
2018,18186800,484230,7.796696429,CA,567,EXEMPT
2019,25506250,484230,8.158174603,VA,450,EXEMPT
2020,22531300,484230,8.200438596,CA,565,EXEMPT
2012,41300,485111,7.54,MD,0,PIF
2015,513000,485111,6.916666667,TX,2,EXEMPT
2016,25000,485111,9.69,UT,2,EXEMPT
2018,260000,485111,10.74,MA,25,EXEMPT
2019,150000,485111,8.25,GA,2,CANCLD
2012,25500,485113,7.54,MD,11,PIF
2013,2386500,485113,6.078,NJ,99,PIF
2014,3899800,485113,4.75,NJ,362,PIF
2015,2648500,485113,6.625,MI,227,PIF
2016,1189000,485113,6.964285714,PR,267,CHGOFF
2017,500000,485113,8.493333333,FL,61,PIF
2018,2145000,485113,7.5,FL,6,EXEMPT
2019,300000,485113,2.75,NC,10,CANCLD
2016,109500,485119,7.125,WI,11,PIF
2017,920000,485119,9.64,MA,118,EXEMPT
2018,569000,485119,9.7425,FL,36,EXEMPT
2012,6848700,485210,6.3,WI,412,PIF
2013,80000,485210,6,GA,6,CANCLD
2015,34600,485210,8.7,LA,2,CANCLD
2016,5000000,485210,6,MN,50,EXEMPT
2017,472000,485210,5.75,CA,18,EXEMPT
2018,30000,485210,11,AZ,5,EXEMPT
2019,5000000,485210,6.5,NY,5,EXEMPT
2020,1494300,485210,8.513333333,VA,10,EXEMPT
2012,2445900,485310,7.150384615,OH,350,EXEMPT
2013,4700300,485310,6.491111111,UT,265,PIF
2014,7078700,485310,6.909428571,OH,293,CHGOFF
2015,3788800,485310,6.589761905,WI,193,EXEMPT
2016,3039100,485310,7.398541667,FL,223,EXEMPT
2017,8664400,485310,7.429418605,MI,221,CANCLD
2018,1895500,485310,8.505769231,NH,135,EXEMPT
2019,1569500,485310,9.876315789,ME,64,EXEMPT
2020,3389500,485310,7.3425,NY,63,EXEMPT
2012,8932800,485320,6.638095238,NY,397,PIF
2013,10017400,485320,6.32875,CA,517,CHGOFF
2014,12782400,485320,6.402676768,CA,1054,PIF
2015,16918100,485320,6.918389831,MD,810,PIF
2016,22928150,485320,7.175353535,CA,800,EXEMPT
2017,24910900,485320,7.51127451,MI,926,EXEMPT
2018,19020000,485320,8.271473684,NY,628,EXEMPT
2019,9551800,485320,9.251746032,CA,409,EXEMPT
2020,6127700,485320,8.4445,NY,96,EXEMPT
2012,7594300,485410,6.069047619,WI,532,EXEMPT
2013,3883400,485410,6.127647059,WI,396,EXEMPT
