ApprovalFiscalYear,GrossApproval,NaicsCode,InitialInterestRate,BorrState,JobsSupported,LoanStatus
2020,2520000,111998,8.055,DE,31,COMMIT
2012,4744300,112111,6.447368421,CA,46,PIF
2013,5164650,112111,6.476190476,UT,40,PIF
2014,4294400,112111,6.376875,MS,60,PIF
2015,4621500,112111,6.069111111,MS,72,EXEMPT
2016,11831450,112111,6.125344828,CO,222,EXEMPT
2017,7564600,112111,6.12025,MS,62,EXEMPT
2018,10787800,112111,6.661818182,AR,95,EXEMPT
2019,7180500,112111,7.8245,NY,96,EXEMPT
2020,3711600,112111,7.747333333,NY,27,EXEMPT
2012,5700000,112112,5.916666667,TN,27,EXEMPT
2013,2975000,112112,4.875,KY,19,PIF
2014,4974000,112112,6,MO,52,PIF
2015,3675000,112112,5.586666667,ND,11,PIF
2016,595000,112112,6,UT,4,PIF
2017,4563900,112112,5.8125,CO,14,EXEMPT
2018,3980300,112112,7.285714286,CA,45,EXEMPT
2019,5880000,112112,8.583333333,NE,24,EXEMPT
2012,21931500,112120,5.7765,NY,90,PIF
2013,23021905,112120,5.579545455,MN,195,EXEMPT
2014,10476700,112120,5.377,PA,59,CANCLD
2015,8133000,112120,5.528125,WI,263,EXEMPT
2016,29302600,112120,5.8645,NY,263,CANCLD
2017,19051600,112120,6.240689655,PA,119,CANCLD
2018,3738400,112120,7.060588235,MN,39,EXEMPT
2019,5402000,112120,8.781428571,MN,68,EXEMPT
2020,320000,112120,8.333333333,MN,6,EXEMPT
2013,22000,112130,7.5,MS,4,PIF
2014,108100,112130,6.5,MS,4,PIF
2015,342000,112130,5,VT,2,PIF
2016,1256520,112130,6.483333333,MS,5,EXEMPT
2017,150000,112130,5.75,MN,2,EXEMPT
2018,55400,112130,6.163333333,MS,6,EXEMPT
2020,68300,112130,9.006,NC,2,EXEMPT
2012,899500,112210,5.775,NC,13,PIF
2013,13256600,112210,6.028333333,NC,68,PIF
2014,6530000,112210,5.216666667,VA,65,PIF
2015,13697000,112210,5.616666667,NC,48,EXEMPT
2016,10287600,112210,6.079166667,OR,71,EXEMPT
2017,1429000,112210,6.53,AR,13,EXEMPT
2018,10516100,112210,6.89375,MN,9,CANCLD
2019,1004400,112210,7.15,VA,7,EXEMPT
2012,19165600,112310,6.263265306,MS,120,PIF
2013,12146000,112310,5.853243243,TN,101,PIF
2014,22591900,112310,5.642444444,PR,105,PIF
2015,18753600,112310,5.361842105,MS,113,PIF
2016,19513600,112310,5.56,GA,78,CHGOFF
2017,21184300,112310,5.523157895,OK,117,PIF
2018,17755258,112310,5.914516129,OK,68,EXEMPT
2019,14462600,112310,6.453333333,AR,23,CANCLD
